feature,importance
pollutant_pm2_5,0.3316294
pollutant_co,0.15736248
pollutant_pm10,0.1539362
pollutant_aqi_change_rate,0.097883455
pollutant_pm_ratio,0.06723796
weather_main_Rain,0.06615548
pollutant_nox_total,0.022825217
temperature,0.015070205
pressure,0.009373216
pollutant_nh3,0.008476
temp_max,0.008150054
pollutant_so2,0.007837935
pollutant_pm2_5_change_rate,0.007732155
pollutant_o3,0.006504185
temp_range,0.0054040714
humidity,0.0052986117
feels_like,0.0052131927
wind_deg,0.004924221
weather_main_Clouds,0.003971427
month,0.0036378824
temp_min,0.0028156915
day,0.0021207957
clouds,0.0020927186
wind_speed,0.0015999719
weekday,0.0008877653
pollutant_no2,0.0008625616
pollutant_no,0.00050992233
year,0.00040288537
is_weekend,5.840304e-05
season_spring,2.5942536e-05
season_winter,0.0
visibility,0.0
season_summer,0.0
hour,0.0
